label,text
positive,Отличный товар, очень доволен, рекомендую
positive,Качество супер, всё понравилось, советую
positive,Прекрасная вещь, сидит отлично, рекомендую
positive,Очень хороший товар, качество отличное
positive,Доволен покупкой, всё замечательно
positive,Рекомендую, товар отличный и недорогой
positive,Всё понравилось, качество хорошее
positive,Отличная покупка, всем советую
negative,Ужасный товар, сплошной брак, не советую
negative,Качество плохое, разочарован, зря купил
negative,Отвратительное качество, не рекомендую
negative,Всё плохо, товар ужасный, вернул
negative,Не советую, брак и плохое качество
negative,Разочарован, деньги на ветер, качество ужасное
negative,Товар плохой, не рекомендую никому
negative,Ужасно, качество отвратительное
neutral,Обычный товар, ничего особенного
neutral,Среднее качество, могло быть лучше
neutral,Нормально, своё дело делает
neutral,Ничего выдающегося, обычная вещь
neutral,Товар как товар, без восторгов
neutral,Средненько, за свою цену нормально
neutral,Обычно, ожидал большего
neutral,Нейтрально, без претензий
