label,text
neutral,"продавец что-то напутал с адресом.Половину пути трек отслеживания потом нет.очень долго отправлял.Вообщем заказывала на лето,но оно к сожалению прошло.....в целом цена-качество соответствует"
neutral,"пришло быстро, товар , фото не соответствует действительности"
positive,"Рубашка понравилась. Я хотела over size, как на модели, в итоге L на рос.44 села как надо."
neutral,продавец сказал что вышлет s вместо xs. в итоге пришел xs . куртка не для зимы. чтобы поднять ногу нужно задрать куртку. разочарована
neutral,"После первой же носки, все в катышках((((("
neutral,"из описания не очень понятно что за материал, на фото выглядит гораздо плотнее. но в остальном претензий нет"
positive,"Доставка около 3 недель. Качество материала внутри очень приятное, снаружи блестящая искусственная кожа, такой вид и хотела. Единственное, размер не подошёл, на свой s ОБ 87см,талия 63 см, заказала L. Мало. Но леггинсы отлично подошли дочери на рост 145, вес 41кг.)))) В общем, на девочку 9-10 лет рекомендую))))Тёплые, под пуховик отлично зимой пригодятся."
neutral,"товар не пришел! открыла спор о возврате средств , продавец предложил ждать еще, я отказалась. деньги вернули."
negative,не подошло
negative,платье красивое но 6xl для этого заказа это 60-62 размер
positive,Очень теплая и красивая кофта. Смотриться эффектно. Размер соответствует
neutral,юбка оооочень короткая
positive,Колготки очень симпатичные. Красиво сидят на стройных ножках.
neutral,"Размер не подошёл , очень жаль"
neutral,"провдавец молодец. отправил быстро. спасибо. ему 5 звёзд. товару 2-3 звезды, не больше!!!! материал так себе. сильно портит фигуру. боди совсем не в обтяжку,хотя размер один в один. в общем осталась разочарована."
negative,"Добрый день заказ был заказан 21.11.2017 года. отправили 29.11.2017 года, пришел на почту 5.01.2018 года. Причем была оплачена быстрая доставка заказ не пришел во время. И еще ко всему плохая прошивка швов и совершенно не сходиться платье на фото с оригиналом, на руках оказывается резинка.которая давит и не так просто одеть его, на талии совершенно большое нужно одевать ремень. К сожалению не могу прикрепить фото,но поверьте на слово. Лучше здесь не чего не заказывать или у этого продавца. Я не довольна этим заказам. Если кто то захочет увидеть это платье,я с удовольствием найду способ прикрепить фото и прислать вам"
neutral,"платье супер!!!! продавец быстро отправил.НО:-нитки торчат, колется, блестки сыпятся (((со стороны спины чуть ниже попы блестки пришиты так будто грязная полоса!!!!! хотелось лучшего"
positive,"Немного маловат , а так качество вроде норм , если после стирки не развалиться"
negative,Качество просто ужасное.Совсем не соответствует фото.
positive,все как на картинке! пришел быстро!
neutral,"и снова посылка не пришла, расстроена"
negative,"испортил впечатление большой шов по центру!!! точнее платье было порвано, а потом его тупо зашили и отправили!!! Сначала не увилела. Свадебная ночь была испорчена. Продавец нечестный , плохо!"
neutral,"Очки крутые, но не обратила внимания, что душки не прорезиненные... они просто металлические, неудобно носить капец)"
neutral,за эти деньги глупо было ожидать чего-то лучшего
positive,"Претензий нет, все как указано у продавца"
positive,"Цвет черный а не темно синий , обидно. Шапка хорошая."
positive,Все суппер!
neutral,"Цвет совершенно не соответствует заявленному на фото продавца. Качество хорошее, буду носить. Отдельное ""спасибо"" Почте России, посылка прошла 6 городов прежде, чем прилететь в Краснодар, дебилы блин."
negative,Комментарии излишни. Всё внимание на фото.
positive,"Костюм хороший,понравился,но на брюках были 2 затяжки на видном месте,неприятно"
neutral,"Продавец всегда был на связи, продлял защиту покупателя, но заказ так и не дошел до меня. ждала 4 месяца. В итоге Алиэкспресс вернул деньги,за что большое спасибо."
positive,"Хорошая кофта,очень теплая,имеет немного запах,есть нитки,но в целом мне нравится,на размер 42,взяла М."
negative,"Футболка на самом деле очень короткая, кроме рисунка схожести вообще нет, в начале даже подумала, что другой заказ прислали."
neutral,Косяк в прокраске на самом видном месте
neutral,"на чёрном горошке внизу белая полоса, непрокрас... не сильно видно, но и одевать не буду.. очень жаль, а так блузка симпотичная"
neutral,"the fabrique is not very good, the colour is not bright"
positive,хорошее боди! быстрая доставка. Но я ожидала более объемные воланы.
positive,"Наконец!!!Дождались!!!(но в этом сезоне уже не успели одеть(((! ) Заказ от 22сентября.Отправлено через неделю после заказа.Получено на 43день, курьером,хотя при заказе выбирала чина пост!!!(приехало бы намного быстрее,если бы доставка не была изменена!!!)За это минус звезда. Продавец хороший.Честно сказал, когда отправит мой заказ.Не люблю когда врут!!! По самой парке: покупала ребенку (все ""мозги мои съел""когда,да когда приедет!) На рост 156см; 49 кг. 42 размер ""села"" отлично(попа закрыта,рукава тоже правильной длины)Можно под низ хорошую тёплую кофту одеть.На рост166,ОГ89-глядится куцо!!!Так ,что надо больше брать у кого 44р-р.Сшита хорошо.Замок пластмассовый.Парка тонкая-соответствует цене!!!Для людей маленького роста!!!Иначе завязка на поясе будет см.на 10 выше талии!!! Цвет зависит от освещения.Мех пришит.Наружная ткань не""парочная""-мягкая,на ощупь бархатистая.Внутренняя,как лысеватый медвежонок.Товар соответствует описанию и цене.На весну!На сезон,думаю,должно хватить.Thank you!!"
positive,Товар не пришёл. Деньги вернули. Продавец был очень вежлив.
negative,Платье пришло бракованное. Заказывали размер самый маленький а пришло самое большое и все растянутое. Открыли спор. Деньги вернули.
neutral,пришол большой размер
neutral,"Сидит странно. Сзади образуется пузырь, хотя по плечам как раз. Расширяется к низу. Носить не смогу. Параметры 87-78-98, заказала М. Пошив нормальный, кнопки вроде крепко посажены. Тонкое, на просвет виден как распределен наполнитель, немного неравномерно. Расстроена. Крой странный, наверное вытачки помогут."
positive,Немного темнее чем на фото. Тёплая и прикольная.
neutral,"заказывали розовую, пришла черная, ребенок расстроен."
positive,"Тонковаты, просвечивают. Но за эти деньги ничего."
positive,Брюки соотвествуют описанию полностью.Качество нормальное.Доставка своевременная.Продавцу спасибо и наилучшие пожелания.
positive,"Чулки красивые, тонкие, без силикона. посылка пришла быстро. заказом довольна )) Спасибо"
negative,"Посылка не пришла. Всячески уговаривали закрыть спор обманом. Невидитесь как бы не уговаривали. Хотела пойти навстречу магазину , но они не продлили защиту. Алиэкспресс вернул деньги обратно."
positive,"куртка крутая, запах сильный, но стирка + неделя проветривания на балконе и все ок) фурнитура звенит))"
negative,"Продавец ооочень просил закрыть спор! Обещал что заказ вот-вот прийдёт в течении двух недель, Заказ так и не пришел!!! Обидно! Трек не отслеживается!"
negative,"Товар я так и не получил!!!!!!! В отслеживании написано заказ выполнен, как не понятно!!!!!45 дней прошло не денег не товара!!!! Супруга растроена"
positive,"Платье крутое, пришло очень быстро, трек отслеживался, сшито хорошо, но! Оно сиреневое ни как не розовое, что немного меня огорчило т.к брала под определенную обувь, но обязательно закажу другие цвета"
positive,"Спасибо большое все пришло быстро. Кофта красивая и нарядная. Продавец отзывчивый, рекомендую этот магазин."
negative,"Хлопка там нет, жуткая синтетика. Брюки сшиты криво. Середина смещена. Как ни натягивай, сразу сползают вниз. При росте в 1.60 и весе 52кг, короткие. Худшая покупка на Али. Не покупайте. Носить не буду. Продавца не рекомендую. Можно ошибиться с торчащими нитками, но не с пошивом и криворукими лекалами.Если кому надо, забирайте бесплатно. Тел в питере 9219551817."
neutral,На рукаве была дырка
neutral,Свитер очень короткий. Качество оставляет желать лучшего
negative,"Товар долго отправляли. Потом заказ завис на почте при отправлении в Китае. открыли спор, деньги вернули."
negative,Выглядит по-другому.
negative,"качество плохое, на очень низкую ростовку у меня 173 размер Л не подошло"
negative,"Платье заказала размер S, в итоге пришло на размер 48. Качество плохое. С продавцом не общалась. Доставка месяц. Не рекомендую."
negative,Юбка пришла с браком. Изнанка вшита наружу. Носить теперь нельзя. Только распарывать и все перешивать. Низ не обработан.
neutral,короткие рукава
positive,Джемпер действительно хорош. Полностью соответствует фото продавца. Запаха нет. Качество отличное. Доставка быстрая. На российский 44 размер подошел идеально.
negative,"Юбка супер! Супер маленькая!!! Если основные поставки в Россию, то почему размеры на кукол?! Если заказываете юбку, заказывайте больше размера на два!"
neutral,"Свитер соответствует описанию и в отзывах видно, видимо плохо смотрела.. сколько стоит - так и выглядит. Дешевый тяжелый акрил, на рост 164 рукава еле еле, взяла М на 87-63 немного свободно. Доставка до СПб достаточно скорая."
positive,Большое спасибо продавцу. Очень хороший товар.
